epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.183,2.74934,3.30405,0.0056,0.21482,0.11226,0.07086,0.03379,2.66945,2.09373,0.00575,0.000237706,0.000237706,0.000237706
2,202.081,2.66602,2.25447,0.00482,0.3,0.1287,0.09613,0.04688,2.63629,1.95187,0.00551,0.000428611,0.000428611,0.000428611
3,291.363,2.62331,2.09426,0.00466,0.28199,0.14054,0.10982,0.0549,2.60763,1.88002,0.0054,0.000572392,0.000572392,0.000572392
4,380.094,2.59432,1.99602,0.00452,0.20055,0.15629,0.12073,0.06082,2.56609,1.82627,0.00527,0.000501942,0.000501942,0.000501942
5,469.301,2.56802,1.92704,0.00444,0.20953,0.16389,0.13095,0.06535,2.58603,1.8452,0.00532,0.000431256,0.000431256,0.000431256
6,559.164,2.53859,1.87639,0.00436,0.2353,0.16589,0.14006,0.07231,2.50852,1.76729,0.00516,0.00036057,0.00036057,0.00036057
7,664.166,2.52138,1.84563,0.00429,0.33145,0.16549,0.14128,0.07254,2.52246,1.77046,0.00507,0.000289884,0.000289884,0.000289884
8,769.004,2.50147,1.81674,0.00423,0.23418,0.16432,0.14473,0.07562,2.4986,1.75686,0.00507,0.000219198,0.000219198,0.000219198
9,860.724,2.49034,1.79696,0.00419,0.2399,0.17273,0.1492,0.07745,2.49985,1.74401,0.00502,0.000148512,0.000148512,0.000148512
10,951.995,2.48559,1.78731,0.00415,0.23775,0.17476,0.15112,0.0783,2.48626,1.73528,0.00499,7.7826e-05,7.7826e-05,7.7826e-05
