epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.192,2.62026,1.90573,0.00435,0.33572,0.16723,0.14701,0.07658,2.49731,1.7356,0.0051,0.000237706,0.000237706,0.000237706
2,193.228,2.60631,1.87202,0.00428,0.33219,0.17184,0.1467,0.07534,2.50178,1.75037,0.00503,0.000460008,0.000460008,0.000460008
3,286.348,2.59665,1.85433,0.00425,0.3348,0.18181,0.15106,0.07641,2.51156,1.74616,0.00508,0.000666601,0.000666601,0.000666601
4,422.146,2.60148,1.84494,0.00424,0.34352,0.17654,0.15934,0.08183,2.4768,1.71713,0.00505,0.000643314,0.000643314,0.000643314
5,521.35,2.57672,1.81702,0.00418,0.2557,0.17916,0.15484,0.07871,2.50261,1.71206,0.005,0.000619752,0.000619752,0.000619752
6,617.192,2.56899,1.80583,0.00414,0.25524,0.18406,0.16266,0.08518,2.48592,1.71223,0.00492,0.00059619,0.00059619,0.00059619
7,714.837,2.5412,1.78077,0.00408,0.2632,0.18552,0.1649,0.08385,2.46019,1.70149,0.00493,0.000572628,0.000572628,0.000572628
8,816.411,2.5518,1.77854,0.00409,0.25505,0.19463,0.16882,0.08783,2.4735,1.69707,0.00489,0.000549066,0.000549066,0.000549066
9,922.255,2.54474,1.76989,0.00404,0.28783,0.19336,0.17534,0.09069,2.47035,1.67909,0.00487,0.000525504,0.000525504,0.000525504
10,1030,2.52151,1.74518,0.004,0.26551,0.19464,0.17624,0.09264,2.46199,1.66835,0.00487,0.000501942,0.000501942,0.000501942
11,1139.22,2.51872,1.74258,0.00398,0.29159,0.19384,0.17734,0.09235,2.43651,1.65999,0.00486,0.00047838,0.00047838,0.00047838
12,1249.28,2.51891,1.7369,0.00395,0.26883,0.19199,0.17566,0.09014,2.45485,1.66451,0.00481,0.000454818,0.000454818,0.000454818
13,1357.52,2.50455,1.72155,0.00393,0.27725,0.19918,0.17676,0.09164,2.45738,1.6602,0.00484,0.000431256,0.000431256,0.000431256
14,1467.72,2.49353,1.71581,0.00392,0.28252,0.20144,0.18113,0.09473,2.43919,1.67573,0.00478,0.000407694,0.000407694,0.000407694
15,1576.4,2.49558,1.7034,0.0039,0.28118,0.20536,0.18502,0.09509,2.44285,1.64525,0.00477,0.000384132,0.000384132,0.000384132
16,1684.14,2.46585,1.69283,0.00387,0.2843,0.20703,0.1845,0.09509,2.44497,1.65314,0.00476,0.00036057,0.00036057,0.00036057
17,1792.77,2.46906,1.69436,0.00388,0.29578,0.20233,0.18671,0.0973,2.41114,1.63073,0.00472,0.000337008,0.000337008,0.000337008
18,1900.4,2.46687,1.68259,0.00384,0.28781,0.20627,0.18721,0.09674,2.43629,1.64374,0.00475,0.000313446,0.000313446,0.000313446
19,2009.55,2.46715,1.67778,0.00384,0.29437,0.21532,0.19432,0.10151,2.39719,1.63093,0.0047,0.000289884,0.000289884,0.000289884
20,2118.75,2.45955,1.66427,0.00379,0.29177,0.21466,0.1945,0.10161,2.38774,1.61896,0.00467,0.000266322,0.000266322,0.000266322
21,2235.5,2.37889,1.63628,0.00383,0.30087,0.20431,0.18881,0.09865,2.40478,1.62312,0.00468,0.00024276,0.00024276,0.00024276
22,2341.66,2.35173,1.61693,0.00381,0.29774,0.20803,0.19015,0.09926,2.39401,1.62291,0.00467,0.000219198,0.000219198,0.000219198
23,2448.69,2.35383,1.60818,0.00378,0.30017,0.21313,0.19153,0.10028,2.38901,1.62235,0.00465,0.000195636,0.000195636,0.000195636
24,2558.69,2.3578,1.6022,0.00375,0.30381,0.21151,0.19556,0.10238,2.3826,1.6107,0.00465,0.000172074,0.000172074,0.000172074
25,2668.69,2.34258,1.59533,0.00374,0.30209,0.21542,0.19372,0.10141,2.38329,1.61114,0.00461,0.000148512,0.000148512,0.000148512
26,2774.99,2.34256,1.58697,0.00372,0.31211,0.21498,0.19704,0.10361,2.3713,1.6063,0.00461,0.00012495,0.00012495,0.00012495
27,2880.83,2.33653,1.58345,0.00371,0.30322,0.21114,0.19499,0.10241,2.37551,1.60604,0.0046,0.000101388,0.000101388,0.000101388
28,2986.36,2.32437,1.57901,0.0037,0.30163,0.21461,0.19604,0.10294,2.37365,1.6051,0.00459,7.7826e-05,7.7826e-05,7.7826e-05
29,3090.38,2.32572,1.57357,0.00371,0.30887,0.21253,0.19612,0.10342,2.3719,1.60324,0.00458,5.4264e-05,5.4264e-05,5.4264e-05
30,3192.47,2.31917,1.57541,0.00369,0.31057,0.21233,0.198,0.10449,2.3618,1.59934,0.00457,3.0702e-05,3.0702e-05,3.0702e-05
