epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,102.528,2.6118,1.87909,0.0043,0.25068,0.17642,0.15195,0.07765,2.52295,1.73007,0.00519,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251,0.00997531,0.0033251
2,175.543,2.60698,1.82375,0.00424,0.25677,0.1649,0.14924,0.07666,2.56305,1.75692,0.00514,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252,0.0197776,0.00659252
3,242.447,2.63012,1.82716,0.00427,0.24516,0.16701,0.14598,0.07393,2.56828,1.78673,0.00532,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393,0.0293818,0.00979393
4,306.974,2.63775,1.8342,0.0043,0.25055,0.17712,0.15328,0.07668,2.57098,1.78438,0.00527,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,372.998,2.61755,1.81158,0.00426,0.27626,0.17971,0.1613,0.08082,2.54434,1.74517,0.00519,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,437.587,2.60723,1.78852,0.00418,0.29509,0.19676,0.16841,0.08379,2.53761,1.72868,0.00519,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,502.284,2.5876,1.77009,0.00414,0.27615,0.19582,0.17109,0.08558,2.52387,1.71129,0.00512,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,566.657,2.56664,1.75143,0.00408,0.29254,0.21415,0.18128,0.09112,2.50255,1.70205,0.00498,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,631.048,2.55195,1.74077,0.00405,0.27279,0.2101,0.18139,0.09043,2.47251,1.68304,0.0049,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,697.315,2.54391,1.72458,0.00398,0.27201,0.21313,0.17982,0.09065,2.49268,1.70994,0.00495,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,762.639,2.52016,1.70835,0.00397,0.28082,0.20214,0.1815,0.09148,2.47101,1.66984,0.00489,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,827.247,2.52308,1.70883,0.00395,0.28942,0.20731,0.18894,0.0959,2.46848,1.67176,0.00485,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,891.308,2.50566,1.69086,0.00394,0.28997,0.21188,0.1868,0.0947,2.43486,1.64257,0.00479,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,956.449,2.49743,1.6879,0.00389,0.30503,0.21853,0.1948,0.09845,2.43894,1.65287,0.00482,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1021.12,2.50501,1.68097,0.00385,0.29468,0.21621,0.19298,0.09826,2.46771,1.66057,0.00477,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1085.25,2.493,1.6705,0.00387,0.29014,0.22249,0.19593,0.09935,2.4348,1.62926,0.00478,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1150.06,2.48754,1.66353,0.00382,0.30786,0.21727,0.1935,0.10027,2.43121,1.64995,0.00473,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1215.03,2.48209,1.65308,0.00382,0.28695,0.21538,0.19359,0.10035,2.44564,1.66994,0.00481,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1279.94,2.45916,1.64951,0.00381,0.29777,0.22633,0.19728,0.09909,2.44414,1.64601,0.00478,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1344.3,2.46013,1.63928,0.00379,0.31255,0.22677,0.20202,0.10472,2.39003,1.60844,0.00463,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1408.51,2.45639,1.63988,0.00378,0.30181,0.22823,0.20535,0.10453,2.39827,1.63471,0.00464,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
